Current_question_number,Guidance_URLs,Edited_question_number
C1.1c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C1.1c&otype=ORS&incchild=1&microsite=1&gettags=1,C1.1c
C1.1d,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C1.1d&otype=ORS&incchild=1&microsite=1&gettags=1,C1.1d
C1.2,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C1.2&otype=ORS&incchild=1&microsite=1&gettags=1,C1.2
C1.2a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C1.2a&otype=ORS&incchild=1&microsite=1&gettags=1,C1.2a
C1.3,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C1.3&otype=ORS&incchild=1&microsite=1&gettags=1,C1.3
C1.3a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C1.3a&otype=ORS&incchild=1&microsite=1&gettags=1,C1.3a
C-FS1.4,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS1.4&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS1.4
C2.1,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.1&otype=ORS&incchild=1&microsite=1&gettags=1,C2.1
C2.1a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.1a&otype=ORS&incchild=1&microsite=1&gettags=1,C2.1a
C2.1b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.1b&otype=ORS&incchild=1&microsite=1&gettags=1,C2.1b
C2.2,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.2&otype=ORS&incchild=1&microsite=1&gettags=1,C2.2
C2.2a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.2a&otype=ORS&incchild=1&microsite=1&gettags=1,C2.2a
C-FS2.2b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS2.2b&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS2.2b
C-FS2.2c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS2.2c&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS2.2c
C-FS2.2d,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS2.2d&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS2.2d
C-FS2.2e,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS2.2e&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS2.2e
C2.2g,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.2g&otype=ORS&incchild=1&microsite=1&gettags=1,C2.2g
C2.3,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.3&otype=ORS&incchild=1&microsite=1&gettags=1,C2.3
C2.3a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.3a&otype=ORS&incchild=1&microsite=1&gettags=1,C2.3a
C2.3b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.3b&otype=ORS&incchild=1&microsite=1&gettags=1,C2.3b
C2.4,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.4&otype=ORS&incchild=1&microsite=1&gettags=1,C2.4
C2.4a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.4a&otype=ORS&incchild=1&microsite=1&gettags=1,C2.4a
C2.4b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C2.4b&otype=ORS&incchild=1&microsite=1&gettags=1,C2.4b
C3.1,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C3.1&otype=ORS&incchild=1&microsite=1&gettags=1,C3.1
C3.2,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C3.2&otype=ORS&incchild=1&microsite=1&gettags=1,C3.2
C3.2a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C3.2a&otype=ORS&incchild=1&microsite=1&gettags=1,C3.2a
C3.2b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C3.2b&otype=ORS&incchild=1&microsite=1&gettags=1,C3.2b
C3.3,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C3.3&otype=ORS&incchild=1&microsite=1&gettags=1,C3.3
C3.4,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C3.4&otype=ORS&incchild=1&microsite=1&gettags=1,C3.4
C3.5,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C3.5&otype=ORS&incchild=1&microsite=1&gettags=1,C3.5
C3.5a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C3.5a&otype=ORS&incchild=1&microsite=1&gettags=1,C3.5a
C-FS3.6,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS3.6&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS3.6
C-FS3.6a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS3.6a&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS3.6a
